regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
CN29;ENCLOSURE -273x243x92mm for 17AH Battery;348;243.1;400.2;279.565;cab_enc;cab
;"FASTENERS FOR CONDUIT; TRUNKING AND CABLES";;;0;0;cab_enc;cab
HW29-1;Easyhold Plug - 8mm Black - 100 pack;132;106.2;151.8;122.13;cab_enc;cab
CB95-4;Solar Cable 4mm (Black and Red) - 10m;440;293.33;506;337.3295;cab_sol;cab
CB95-5;Solar Cable 4mm (Black and Red) - 20m;839;587;964.85;675.05;cab_sol;cab
CB95-6;Solar Cable 4mm (Black and Red) - 50m;1920;1280;2208;1472;cab_sol;cab
CB95-7;Solar Cable 6mm (Black and Red) - 10m;600;400;690;460;cab_sol;pow
CB95-8;Solar Cable 6mm (Black and Red) - 20m;1160;773.33;1334;889.3295;cab_sol;pow
CB95-9;Solar Cable 6mm (Black and Red) - 50m;2912;1941.33;3348.8;2232.5295;cab_sol;pow
KTS010;Solar Cabling Kit (12-24V);1399	899	1608.85;1033.85;cab_sol;pow

