description;name;qty;rate;cost;dist;price;inner;category;margin
battery  cabinet (house 2 X US2000) Lithium;;0;3000.00;R0.00;R0.00;R0.00;batprot;battery;
Battery protection 2kW (100A ) 24V system;;0;400.00;R0.00;R0.00;R0.00;batprot;battery;
Battery protection 3kW (160A ) 24V system;;0;600.00;R0.00;R0.00;R0.00;batprot;battery;
Battery protection 5kW (125A ) 48V system;;0;601.00;R0.00;R0.00;R0.00;batprot;battery;
battery stand  (battery housing 2 100Ah AGM );;2;1100.00;R2 200.00;R2 200.00;R2 784.81;batstand;battery;
Battery stand  (battery housing) brackets;;0;828.00;R0.00;R0.00;R0.00;batstand;battery;
Travelling KM ;;10;6.00;;;R60.00;trvl;TRVLAB;
Labour Retrofit  kit  per  Geyser;;0;4000.00;;;R0.00;;TRVLAB;
Installation labour (Engineering, Electrical Interface +commissioning);;8;450.00;R3 600;R2 000.00;R3 600.00;lab;TRVLAB;
Assessment;;1;650.00;R650;;R650.00;lab;TRVLAB;
Out of town;;0;1200.00;R0;;R0.00;tvrl;TRVLAB;
305W;Canadian PV;;2100.00;;;;panel;PV;
365W;Canadian PV;;2500.00;;;;panel;PV;
410W;Canadian PV;;2650.00;;;;panel;PV;
455W;Canadian PV;;3000.00;;;;panel;PV;
490W;Canadian PV;;3250.00;;;;panel;PV;
545W;PV Solar  Panel Mono;;3500.00;;;;panel;PV;
595W;PV Solar Panel  Mono;;3700.00;;;;panel;PV;
Inverter 3kW 24VDC;3000;;5750.00;1500W PV Max;;;inv;PV;
Inverter 3kW 48VDC;3000;;6999.00;;;;inv;PV;
Inverter 5kW LV 48VDC;5000;;11000.00;;;;inv;PV;
Inverter 5kW HighVoltage 48VDC;5000;;12000.00;;;;inv;PV;
Inverter 5kW Hybrid 48VDC;5000;;21000.00;;;;inv;PV;
Inverter 8kW Hybrid 48VDC;8000;;31000.00;;;;inv;PV;
Inverter 12kW Hybrid 48VDC;12000;;45000.00;;;;inv;PV;
Panel Mount IBR-ROOF 2;;;793.00;;;;roof;PV;
;;;;;;;;PV;
Panel Mount IBR-ROOF 3;;;1190.00;;;;roof;PV;
Panel Mount IBR-ROOF 4;;;1587.20;;;;roof;PV;
