description;name;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
TL03-3;Nemtek HV LCD Electric Fence Meter;1079.67;730;1241.6205;839.5;TOOL;efe
TL03-5;HV LCD Electric Fence Meter Pouch;79;55;90.85;63.25;TOOL;efe
SD38;Strobe Light Red LED 12VDC;74.18;60.9;85.307;70.035;LIGHT;efe
SD39;Strobe Light Green LED 12VDC;74.18;60.9;85.307;70.035;LIGHT;efe
WL53;Perimter Fence Dual Light on Bracket Blk;273.62;185;314.663;212.75;LIGHT;efe
PS85-4;Perimeter Light PSU PCB 24VDC;222.72;160;256.128;184;LIGHT;efe
EF32-1;Nail in Anchors - 5 x 36mm - 100;75.9;49.3;87.285;56.695;ACCESS;efe
EF32-2;Nail in Anchors - 6 x 35mm-100;91.3;59.3;104.995;68.195;ACCESS;efe
EF33;Nail-in Anchors - 6 x 55mm - 100;104.5;73.1;120.175;84.065;ACCESS;efe
EF32-3;Hammer Drive Zinc Alloy 6 x 50mm 100 p;279;199;320.85;228.85;ACCESS;efe
EF32-4;Hammer Drive Zink Alloy 6 x 65mm - 100;340.19;230;391.2185;264.5;ACCESS;efe
EF33-1;Nail-in Anchors - 8 x 80mm - 50;119;83;136.85;95.45;ACCESS;efe
EF33-2;Nail In Anchors - 8 x 100mm - 50;84;58.5;96.6;67.275;ACCESS;efe
EF33-3;Nail-in Anchors - 6 x 70mm - 100;115;106.2;132.25;122.13;ACCESS;efe
;;;;0;0;;efe
Prices are subject to change without prior notice.;;;;0;0;;efe
E&OE. Valid until 31st March 2023.;Page: 46;;;0;0;;efe
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;efe
;;;;0;0;;efe
Trade Price List;;;;0;0;;efe
ELECTRIC FENCING;;;;0;0;;efe
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;efe
;ELECTRIC FENCE - HT CABLE;;;0;0;;efe
EF19-2;HT Cable - 3 Core 100m Black;1675.76;1175;1927.124;1351.25;CABLE;efe
EF19-4;HT Cable - 4 Core 100m Slimline Black;1797.77;1260;2067.4355;1449;CABLE;efe
EF19-5;HT Cable - Aluminium 100m Solid Black;520.78;365;598.897;419.75;CABLE;efe
EF20-2;HT Cable - Slimline 100m Black SS 316;663.46;465;762.979;534.75;CABLE;efe
EF20-3;HT Cable - Slimline 100m White;784.8;550;902.52;632.5;CABLE;efe
EF20-4;HT Cable Underground 1.6mm 25m;212.98;136;244.927;156.4;CABLE;efe
EF20-5;HT Cable Underground 1.6mm 50m;378.97;242;435.8155;278.3;CABLE;efe
EF20-6;HT Cable Underground 1.6mm 100m;759.51;485;873.4365;557.75;CABLE;efe
EF20-7;HT Cable Underground 2.5mm 100m;978.75;625;1125.5625;718.75;CABLE;efe
EF20-8;HT Cable Underground 2.5mm 25m;289.71;185;333.1665;212.75;CABLE;efe
EF20-9;HT Cable Underground 2.5mm 50m;508.95;325;585.2925;373.75;CABLE;efe
EF21;HT Cable - Slimline 100m Black;765;535;879.75;615.25;CABLE;efe
EF21-2;HT Cable - Slimline 30m Black;242.6;173;278.99;198.95;CABLE;efe
EF84;Silicone Tape - Alcolin - Black;130;91;149.5;104.65;;efe
EF84-1;Silicone Tape - Alcolin - white;122;90.6;140.3;104.19;;efe
EF34;Sliding Gate Contact - Set;138.5;99.5;159.275;114.425;CONTACT;efe
EF34-1;Sliding Gate Contact - In-line;389.8;280;448.27;322;CONTACT;efe
EF34-4;Sliding Gate Contact - In-Line Brass;403.7;290;464.255;333.5;CONTACT;efe
EF34-5;Sliding Gate Contact - In-Line 3 Way;542.9;390;624.335;448.5;CONTACT;efe
EF34-6;Sliding Gate Contact - Universal Bracket;250;175;287.5;201.25;CONTACT;efe
;ELECTRIC FENCE SOLAR;;;0;0;;efe
PS44;Solar Bracket - Alum Box Mnt for 20-140W;806.06;545;926.969;626.75;SOLAR;efe
PS45;Solar Regulator 12V-24V 20Amp;688;481;791.2;553.15;SOLAR;efe
PS45-3;Solar Regulator - 12VDC 10Amp 140 Watt;613.79;415;705.8585;477.25;SOLAR;efe
PS45-7;Sola-Prod 15A MPPT Controller;1215;850;1397.25;977.5;SOLAR;efe
PS47;Solar Module - 20 Watt incl Junction Box;458;320;526.7;368;SOLAR;efe
PS47-6;Solar Panel - 45 Watt incl Junction Box;983.54;665;1131.071;764.75;SOLAR;efe
PS47-3;Solar Panel - 90 Watt incl Junction Box;1909;1336;2195.35;1536.4;SOLAR;efe
PS47-4;Solar Panel - 140 Watt incl Junction Box;2093;1465;2406.95;1684.75;SOLAR;efe
PS85-1;Portable Battery Box 1 - 2 x 12V 2 x USB;2176.74;1390;2503.251;1598.5;SOLAR;efe
PS85-2;Portable Battery Box 2 - 1 x 12V 2 x USB;1986;1390;2283.9;1598.5;SOLAR;efe
;ELECTRIC FENCE POLES - AGRI;;;0;0;;efe
EF47-10;Free Standing Y-Picket Pole 2.4m HDG 8mm;276.84;172;318.366;197.8;FREE;efe
EF47-11;Free Standing Y-Picket Pole 3.0m Bitumin;276.84;172;318.366;197.8;FREE;efe
EF47-12;Free Standing Y-Picket Pole 3.0m HDG 8mm;352.49;219;405.3635;251.85;FREE;efe
EF47-14;Free Standing Y-Picket Pole 3m HDG 11mm;339.6;211;390.54;242.65;FREE;efe
;;;;0;0;;efe
Prices are subject to change without prior notice.;;;;0;0;;efe
E&OE. Valid until 31st March 2023.;Page: 47;;;0;0;;efe
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;efe
;;;;0;0;;efe
Trade Price List;;;;0;0;;efe
ELECTRIC FENCING;;;;0;0;;efe
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;efe
;ELECTRIC FENCE ACCESSORIES - AGRI;;;0;0;;efe
EF66-1;Offset Bracket Double 225mm;9.3;5.95;10.695;6.8425;ACCESS;efe
EF66-2;Offset Bracket Single 450mm;9.33;5.95;10.7295;6.8425;ACCESS;efe
EF66-3;Offset Bracket Single 225mm;6.65;4.25;7.6475;4.8875;ACCESS;efe
EF66-4;Offset Bracket Double 350mm;11.35;7.25;13.0525;8.3375;ACCESS;efe
EF66-5;Offset Bracket Triple 240mm;12.62;8.1;14.513;9.315;ACCESS;efe
EF66-6;Free Standing - Offset - Anti-Dig;16.93;10.8;19.4695;12.42;ACCESS;efe
EF26-10;Insulator - Ring - Long Arm Screw 190mm;12.38;7.9;14.237;9.085;INSULATOR;efe
EF26-11;Insulator - Screw on Bar - Black;6.8;4.75;7.82;5.4625;INSULATOR;efe
EF29-10;Insulator - End & Corner Post 12-40mm Wh;22.24;14.2;25.576;16.33;INSULATOR;efe
EF29-11;Insulator - Intermediate - 12-40mm White;7.75;4.95;8.9125;5.6925;INSULATOR;efe
EF29-12;Insulator - Tape- Screw 40mm;6.38;4.15;7.337;4.7725;INSULATOR;efe
EF29-13;Insulator - Thick Poly Wire-Rope - White;3.1;1.95;3.565;2.2425;INSULATOR;efe
EF29-14;Sleeve - Gum Pole - Wire Insulator - 10m;119.02;76;136.873;87.4;INSULATOR;efe
EF29-16;Poly Tape - Joiner 40mm - 70 x 50mm;22.71;14.5;26.1165;16.675;ACCESS;efe
EF29-17;Poly Tape - Buckle 40mm - 60 x 60mm;20.2;12.9;23.23;14.835;ACCESS;efe
EF29-18;Gate Handle - Blue (SS Spring);44.63;28.5;51.3245;32.775;ACCESS;efe
EF29-19;Gate Handle Plastic Only - Blue;26;17.9;29.9;20.585;ACCESS;efe
EF29-20;Gate Spring Only - Galv 3 Meter;106.49;68;122.4635;78.2;ACCESS;efe
EF29-21;Gate Handle Only - Blue With Spring;105.71;67.5;121.5665;77.625;ACCESS;efe
EF29-22;Poly Tape-Actuator T-Pcs-3Hole Gate Ass;24.2;16.9;27.83;19.435;ACCESS;efe
EF29-23;Gate Handle Kit - Tape 40mm x 4m;144.07;92;165.6805;105.8;ACCESS;efe
EF29-24;Flexi Gate System - 3.5m - 7m;157.9;110.5;181.585;127.075;ACCESS;efe
EF29-25;Flexi Gate System - 5.5m - 11m;185;129.5;212.75;148.925;ACCESS;efe
EF42-10;Wire Strainer-In Line - Heavy Duty - HDG;34.14;21.8;39.261;25.07;ACCESS;efe
EF42-11;Wire Strainer Insulated - Heavy Duty HDG;60.92;38.9;70.058;44.735;ACCESS;efe
EF42-12;Wire Strainer Porcelain - Heavy Duty HDG;66.56;42.5;76.544;48.875;ACCESS;efe
EF47;Insulator - Y Std black;1.79;1.14;2.0585;1.311;ACCESS;efe
EF47-3;Insulator - Picket with Clip - Black;2.2;1.39;2.53;1.5985;ACCESS;efe
EF47-4;Insulator - Dual Pin Picket;5.29;3.38;6.0835;3.887;ACCESS;efe
EF29-15;Y- Picket Insulated Cap;9.24;5.9;10.626;6.785;ACCESS;efe
EF29-35;Y-Picket Fastner Clip with M6 Nut & Bolt;2.51;1.6;2.8865;1.84;ACCESS;efe
EF29-37;Y-Picket Rope Star Insulated Cap;8.3;5.3;9.545;6.095;ACCESS;efe
EF63-10;Poly Wire - Vario SS6;399.33;255;459.2295;293.25;ACCESS;efe
EF63-11;Poly Wire - Blue MIX3 - 200m;228;159;262.2;182.85;ACCESS;efe
EF63-12;Poly Wire - Blue MIX3 - 400m;452;316;519.8;363.4;ACCESS;efe
EF63-3;Poly Wire - Blue MIX6 - 400m;615;430;707.25;494.5;ACCESS;efe
EF63-13;Poly Rope - White MIX6 - 200m;853.47;545;981.4905;626.75;ACCESS;efe
EF63-14;Poly Tape - MIX 12mm - 200m;400;280;460;322;ACCESS;efe
EF63-15;Poly Tape - MIX 20mm - 200m;524.61;335;603.3015;385.25;ACCESS;efe
EF63-16;Poly Tape - MIX 20mm - 400m;1244.97;795;1431.7155;914.25;ACCESS;efe
EF63-17;Poly Tape - MIX 40mm - 200m;750;525;862.5;603.75;ACCESS;efe
EF63-22;Poly Tape - Mix 12mm 400m;783;500;900.45;575;ACCESS;efe
EF63-23;Poly Tape - Mix 20mm 500m;1050;735;1207.5;845.25;ACCESS;efe
EF63-24;Flexi Rope 8mm UV 50m;931.77;595;1071.5355;684.25;ACCESS;efe
EF63-18;Fibre Rod-1250mm*10mm;29.3;20.5;33.695;23.575;ACCESS;efe
EF63-19;Fibre Rod-1500mm*10mm;35;24;40.25;27.6;ACCESS;efe
EF29-29;Poly Post 1.2m Step In White HD;60;41.5;69;47.725;ACCESS;efe
EF63-6;Spring Clip - 10mm Rod - Gold;4.08;2.75;4.692;3.1625;ACCESS;efe
EF83-2;Reel Holder - ABS-Alu Frame Geared 1:1;681.21;435;783.3915;500.25;TOOL;efe
EF83-3;Reel Holder - ABS-Alu Frame Geared 3:1;775.17;495;891.4455;569.25;TOOL;efe
EF83;Spinning Jenny - 2.24 Wire Dispenser;1863.54;1190;2143.071;1368.5;TOOL;efe
