description;name;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
PS64-3;SP CCTV PS Dist Box 9-Way 8Amp Power Sto;1597;1089;1836.55;1252.35;pow_sup;pow
PS65-1;SP CCTV PS Switch Mode 12VDC 4Amp Regula;315;216;362.25;248.4;pow_sup;pow
PS68;SP CCTV PS Dist Box 10-Way 10Amp;903;619;1038.45;711.85;pow_sup;pow
PS69;SP CCTV PS Dist Box 18-Way 20Amp;1316;899;1513.4;1033.85;pow_sup;pow
PS70;SP PS 12VDC 10Amp Enclosed;586;399;673.9;458.85;pow_sup;pow
PS66;SP PS 24VDC 5Amp Power Store;2497;1875;2871.55;2156.25;pow_sup;pow
SOLAR POWER;;;;0;0;;pow
SO02-03;Inverter 600W PSW 12VDC Intell Charge;3898;2670;4482.7;3070.5;sol_pow;pow
SO02-04;Inverter 1000W PSW 12VDC Intell Charge;5996;4131;6895.4;4750.65;sol_pow;pow
NW500;5P Unmngd GB PoE Solar Switch + 1SFP;3669;2568;4219.35;2953.2;sol_pow;pow
NW505;8 Port Mngd GB PoE Solar Switch + 2 Port;7963;5574;9157.45;6410.1;sol_pow;pow
SO50-30;30Watt 36VDC Mono Solar Panel 72 Cell;718;502;825.7;577.3;sol_pow;pow
SO50-50;50Watt 36VDC Mono Solar Panel 72 Cell;983;688;1130.45;791.2;sol_pow;pow
SO50-100;100Watt 36VDC Mono Solar Panel 72 Cell;1783;1248;2050.45;1435.2;sol_pow;pow
SO50-200;200Watt 36VDC Mono Solar Panel 72 Cell;3503;2452;4028.45;2819.8;sol_pow;pow
PS45-7;Sola-Prod 15A MPPT Controller;1215;850;1397.25;977.5;sol_pow;pow
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
KTS012;Solar Assembly MPPT Kit;947;675.8;1089.05;777.17;sol_pow;pow
KTSOL3012;12V 30W Solar Kit;5428;3799;6242.2;4368.85;sol_pow;pow
KTSOL3024;24V 30W Solar Kit;5428;3799;6242.2;4368.85;sol_pow;pow
