regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
LK188-21;ZK TH01 Blkbody Thermal Calibration Devi;116253;81377;133690.95;93583.55;zk_multi;acc
LK188-30;ZK SpeedFace Mini Multi-BM Reader Face P;7675.4;5252;8826.71;6039.8;zk_multi;acc
LK188-31;SpeedFaceM4 MultiBio Reader Face FA & PA;16666.4;11405;19166.36;13115.75;zk_multi;acc
LK188-32;Elite Access Facial Reader;25684;19757;29536.6;22720.55;zk_multi;acc
LK188-35;ZK SpeedFaceV5 Andriod Multi-BM Reader F;14670;10269;16870.5;11809.35;zk_multi;acc
LK188-36;G3 Pro Multi-Bio Reader Face Palm FP;14955;11504;17198.25;13229.6;zk_multi;acc
LK188-26;ZK Stand for SpeedFace & ProFace;3298.3;2257.08;3793.045;2595.642;zk_multi;acc
LK188-27;ZK Rain for ProFaceXP;604.9;413.88;695.635;475.962;zk_multi;acc
LK188-28;ZK Stand for ProFaceXP Adjustable;9579.6;6555.48;11016.54;7538.802;zk_multi;acc
LK187-3;FHT2300 Turnstile Full Height Blank;116957;80036;134500.55;92041.4;turn;acc
LK187-4;ZK TS2000 Turnstile Waist High Drop Arm;24853.4;17007.65;28581.41;19558.7975;turn;acc
LK187-5;ZK TS2022 Turnstile Waist High Drop Arm;34645.8;23708.78;39842.67;27265.097;turn;acc
LK187-6;TS1200 TS Waiste High Dual Tripod;65791;45015.8;75659.65;51768.17;turn;acc
LK187-7;FHT2322 Turnstile Full Height + FP & RF;134500.6;92041.4;154675.69;105847.61;turn;acc
LK187-11;ZK Pro TS2011 Turnstile Waist High Drop;29970.3;20509.23;34465.845;23585.6145;turn;acc
LK187-12;TS1022Pro Turnstile Waiste High + FP&RF;31432.2;21509.68;36147.03;24736.132;turn;acc
LK187-13;TS1011Pro Turnstile Waiste High + RF;22053;15160;25360.95;17434;turn;acc
LK482;SBTL2000S Swing Barrier;40204;27512.38;46234.6;31639.237;barrier;acc
LK483;ZK SBTL1000S Swing Barrier;24420;17094;28083;19658.1;barrier;acc
LK484;ZK FBL4022 Flap Barrier Single Lane FP &;96489.6;66029.7;110963.04;75934.155;barrier;acc
LK485;ZK FBL4222 Flap Barrier Double Wing FP &;77484.1;53023.85;89106.715;60977.4275;barrier;acc
;ZKTeco Management Software;;;0;0;;acc
LK189-1;BioSecurity Access Module 1 Door;-;-;#VALUE!;#VALUE!;;acc
LK189-5;ZK BS-AC-5 BioSecurity Access Mod 5 Door;3061.4;2094.96;3520.61;2409.204;zk_soft;acc
LK189-9;ZK BioTime 8 Software Lic Device Limit 5;35893.1;24562.32;41277.065;28246.668;zk_soft;acc
LK189-10;ZKBT-M10 BT 8 Mobile App - 10 Users;3925.8;2686.5;4514.67;3089.475;zk_soft;acc
